voynich_word,profile,candidates,confidence
oar,Generic Herb,Generic,Low
chokaiin,Generic Herb,Generic,Low
orain,Generic Herb,Generic,Low
cthedy,Generic Herb,Generic,Low
otody,Generic Herb,Generic,Low
olshey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheeody,Generic Herb,Generic,Low
choly,Generic Herb,Generic,Low
chotar,Generic Herb,Generic,Low
opaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
odain,Generic Herb,Generic,Low
chan,Generic Herb,Generic,Low
choiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
shocthy,Generic Herb,Generic,Low
ckhor,Generic Herb,Generic,Low
qodar,Generic Herb,Generic,Low
dshor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ockhy,Generic Herb,Generic,Low
okeal,Generic Herb,Generic,Low
olar,Generic Herb,Generic,Low
qoteol,Generic Herb,Generic,Low
okeeody,Generic Herb,Generic,Low
olain,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chedain,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chom,Generic Herb,Generic,Low
qokchor,Generic Herb,Generic,Low
chkar,Generic Herb,Generic,Low
chodar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chty,Generic Herb,Generic,Low
chokeey,Generic Herb,Generic,Low
qoteody,Generic Herb,Generic,Low
cheodaiin,Generic Herb,Generic,Low
qokcho,Generic Herb,Generic,Low
chcphy,Generic Herb,Generic,Low
chdam,Generic Herb,Generic,Low
qokody,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cthaiin,Generic Herb,Generic,Low
okeeor,Generic Herb,Generic,Low
shees,Generic Herb,Generic,Low
daiin<$><plant>,Generic Herb,Generic,Low
cheockhy,Generic Herb,Generic,Low
octhy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
k,Generic Herb,Generic,Low
okshy,Generic Herb,Generic,Low
okeo,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qotody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ckheey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oees,Generic Herb,Generic,Low
dsho,Generic Herb,Generic,Low
okedal,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
ctheol,Generic Herb,Generic,Low
otoldy,Generic Herb,Generic,Low
oral,Generic Herb,Generic,Low
oram,Generic Herb,Generic,Low
olsheey,Generic Herb,Generic,Low
oteeol,Generic Herb,Generic,Low
chotal,Generic Herb,Generic,Low
sheety,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
tchody,Generic Herb,Generic,Low
opy,Generic Herb,Generic,Low
okaldy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chekaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olkeeey,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
ykor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ksho,Generic Herb,Generic,Low
olcheol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chkain,Generic Herb,Generic,Low
oteo,Generic Herb,Generic,Low
dsheol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
okary,Generic Herb,Generic,Low
ykchdy,Generic Herb,Generic,Low
ytchdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
okedar,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
dalor,Generic Herb,Generic,Low
chr,Generic Herb,Generic,Low
chotaiin,Generic Herb,Generic,Low
oain,Generic Herb,Generic,Low
qok,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
okshey,Generic Herb,Generic,Low
yteeody,Generic Herb,Generic,Low
dan,Generic Herb,Generic,Low
sheeor,Generic Herb,Generic,Low
chcthey,Generic Herb,Generic,Low
chokal,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
otcho,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chod,Generic Herb,Generic,Low
teody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chkey,Generic Herb,Generic,Low
chcthedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
oiiin,Generic Herb,Generic,Low
otaldy,Generic Herb,Generic,Low
polaiin,Generic Herb,Generic,Low
keeor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oldaiin,Generic Herb,Generic,Low
chekey,Generic Herb,Generic,Low
okear,Generic Herb,Generic,Low
olchdy,Generic Herb,Generic,Low
cheodal,Generic Herb,Generic,Low
schey,Generic Herb,Generic,Low
daram,Generic Herb,Generic,Low
ockhey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chokar,Generic Herb,Generic,Low
kshey,Generic Herb,Generic,Low
shoiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olchy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chory,Generic Herb,Generic,Low
okcheey,Generic Herb,Generic,Low
shockhy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ytody,Generic Herb,Generic,Low
osaiin,Generic Herb,Generic,Low
cthal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheeey,Generic Herb,Generic,Low
oko,Generic Herb,Generic,Low
chotol,Generic Herb,Generic,Low
tcheo,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chdain,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ochedy,Generic Herb,Generic,Low
okchd,Generic Herb,Generic,Low
olkeol,Generic Herb,Generic,Low
otoly,Generic Herb,Generic,Low
ochey,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
"or,aiin",Generic Herb,Generic,Low
qokeedar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
x,Generic Herb,Generic,Low
otear,Generic Herb,Generic,Low
cphor,Generic Herb,Generic,Low
oeees,Generic Herb,Generic,Low
chodal,Generic Herb,Generic,Low
chetar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qotaly,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
choteey,Generic Herb,Generic,Low
ckheol,Generic Herb,Generic,Low
okaiir,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qoy,Generic Herb,Generic,Low
cthom,Generic Herb,Generic,Low
doiir,Generic Herb,Generic,Low
ockhedy,Generic Herb,Generic,Low
chd,Generic Herb,Generic,Low
orair,Generic Herb,Generic,Low
okoldy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
f,Generic Herb,Generic,Low
olkam,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
sos,Generic Herb,Generic,Low
ety,Generic Herb,Generic,Low
okos,Generic Herb,Generic,Low
odor,Generic Herb,Generic,Low
ofchdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheeos,Generic Herb,Generic,Low
chkedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
shekey,Generic Herb,Generic,Low
oteodar,Generic Herb,Generic,Low
chepy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chekeey,Generic Herb,Generic,Low
cheom,Generic Herb,Generic,Low
otchar,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
oldam,Generic Herb,Generic,Low
pchdar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
kshedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
shekchy,Generic Herb,Generic,Low
pcheody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qockhedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
oteodaiin,Generic Herb,Generic,Low
olkeeody,Generic Herb,Generic,Low
ykaly,Generic Herb,Generic,Low
okeoly,Generic Herb,Generic,Low
dcheo,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
kcho,Generic Herb,Generic,Low
otchody,Generic Herb,Generic,Low
ksheody,Generic Herb,Generic,Low
pchodaiin,Generic Herb,Generic,Low
qopy,Generic Herb,Generic,Low
chtol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
ctheor,Generic Herb,Generic,Low
ydy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
tcheody,Generic Herb,Generic,Low
cheoar,Generic Herb,Generic,Low
okalal,Generic Herb,Generic,Low
qoteor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
oksho,Generic Herb,Generic,Low
ycho,Generic Herb,Generic,Low
otcham,Generic Herb,Generic,Low
ykeor,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qotshy,Generic Herb,Generic,Low
qoteeody,Generic Herb,Generic,Low
teeol,Generic Herb,Generic,Low
cheokeey,Generic Herb,Generic,Low
tshdy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chetey,Generic Herb,Generic,Low
tcheey,Generic Herb,Generic,Low
lkol,Generic Herb,Generic,Low
kshdy,Generic Herb,Generic,Low
ldar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
dairal,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
cheekey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
psheody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
opcheey,Generic Herb,Generic,Low
loly,Generic Herb,Generic,Low
lpchedy,Generic Herb,Generic,Low
o?aiin,Generic Herb,Generic,Low
ytaly,Generic Herb,Generic,Low
da,Generic Herb,Generic,Low
ykam,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chckhal,Generic Herb,Generic,Low
chetchy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
arar,Generic Herb,Generic,Low
par,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chokey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olkair,Generic Herb,Generic,Low
qopaiin,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otedal,Generic Herb,Generic,Low
pcheor,Generic Herb,Generic,Low
chodain,Generic Herb,Generic,Low
chyky,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
shty,Generic Herb,Generic,Low
chopchy,Generic Herb,Generic,Low
ochol,Generic Herb,Generic,Low
qoteo,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
tchar,Generic Herb,Generic,Low
okeeos,Generic Herb,Generic,Low
pchody,Generic Herb,Generic,Low
olfchedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
ckhedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qokdy,Generic Herb,Generic,Low
ofar,Generic Herb,Generic,Low
cheoty,Generic Herb,Generic,Low
lched,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
cheedar,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
opchol,Generic Herb,Generic,Low
qoteeol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chcphey,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
chyty,Generic Herb,Generic,Low
chkchy,Generic Herb,Generic,Low
chodchy,Generic Herb,Generic,Low
qocthey,Generic Herb,Generic,Low
lchol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
otshy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chek,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qop,Generic Herb,Generic,Low
chekeedy,Generic Herb,Generic,Low
qoiin,Generic Herb,Generic,Low
okchar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chokchol,Generic Herb,Generic,Low
rcheey,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
olr,Generic Herb,Generic,Low
kcheey,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
alar,Generic Herb,Generic,Low
alal,Generic Herb,Generic,Low
kcheody,Generic Herb,Generic,Low
sshedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
sheeey,Generic Herb,Generic,Low
olpchedy,Generic Herb,Generic,Low
qokechedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
lkchdy,Generic Herb,Generic,Low
chtaiin,Generic Herb,Generic,Low
o?,Generic Herb,Generic,Low
far,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheod,Generic Herb,Generic,Low
cho?,Generic Herb,Generic,Low
ochy,Generic Herb,Generic,Low
ot?r,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
dchaiin,Generic Herb,Generic,Low
okoy,Generic Herb,Generic,Low
sshey,Generic Herb,Generic,Low
chokol,Generic Herb,Generic,Low
oltedy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
olkeeo,Generic Herb,Generic,Low
ofaiin,Generic Herb,Generic,Low
chetedy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
sodar,Generic Herb,Generic,Low
chaly,Generic Herb,Generic,Low
dalar,Generic Herb,Generic,Low
qokeos,Generic Herb,Generic,Low
lkeol,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
cheety,Generic Herb,Generic,Low
otaram,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
opair,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
pchedaiin,Generic Herb,Generic,Low
dshol,Generic Herb,Generic,Low
okchody,Generic Herb,Generic,Low
toy,Generic Herb,Generic,Low
shosaiin,Generic Herb,Generic,Low
teeedy,Generic Herb,Generic,Low
chep,Generic Herb,Generic,Low
chokor,Generic Herb,Generic,Low
che?,Generic Herb,Generic,Low
octhey,Generic Herb,Generic,Low
shekal,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
shockhey,Generic Herb,Generic,Low
sarol,Generic Herb,Generic,Low
pchdair,Generic Herb,Generic,Low
yteeey,Generic Herb,Generic,Low
lkeeedy,Generic Herb,Generic,Low
qool,Generic Herb,Generic,Low
chockhey,Generic Herb,Generic,Low
kary,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
opchedaiin,Generic Herb,Generic,Low
lkshedy,Generic Herb,Generic,Low
cholaiin,Generic Herb,Generic,Low
an,Generic Herb,Generic,Low
otchal,Generic Herb,Generic,Low
pchar,Generic Herb,Generic,Low
od,Generic Herb,Generic,Low
chot,Generic Herb,Generic,Low
qokod,Generic Herb,Generic,Low
cholody,Generic Herb,Generic,Low
sheoy,Generic Herb,Generic,Low
shokaiin,Generic Herb,Generic,Low
chokeody,Generic Herb,Generic,Low
ok?l,Generic Herb,Generic,Low
chokeol,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
chotor,Generic Herb,Generic,Low
chcphedy,Generic Herb,Generic,Low
ypar,Generic Herb,Generic,Low
ykeeor,Generic Herb,Generic,Low
fchdy,Generic Herb,Generic,Low
ckheody,Generic Herb,Generic,Low
cheocthy,Generic Herb,Generic,Low
cheoly,Generic Herb,Generic,Low
oteodal,Generic Herb,Generic,Low
otechy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
dsheedy,Generic Herb,Generic,Low
loty,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
lkeody,Generic Herb,Generic,Low
okedaiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
olcheor,Generic Herb,Generic,Low
chodaly,Generic Herb,Generic,Low
shtchy,Generic Herb,Generic,Low
tshy,Generic Herb,Generic,Low
ysho,Generic Herb,Generic,Low
kchod,Generic Herb,Generic,Low
cheoldy,Generic Herb,Generic,Low
sheodaiin,Generic Herb,Generic,Low
pcheey,Generic Herb,Generic,Low
cholal,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
teor,Generic Herb,Generic,Low
ckhody,Generic Herb,Generic,Low
dcheor,Generic Herb,Generic,Low
cpheor,Generic Herb,Generic,Low
of,Generic Herb,Generic,Low
odam,Generic Herb,Generic,Low
ysaiin,Generic Herb,Generic,Low
chepchy,Generic Herb,Generic,Low
olsheol,Generic Herb,Generic,Low
alaiin,Generic Herb,Generic,Low
chetaiin,Generic Herb,Generic,Low
los,Generic Herb,Generic,Low
ykeeedy,Generic Herb,Generic,Low
tchodaiin,Generic Herb,Generic,Low
tedaiin,Dry Spice / Resin,"Pepper, Ginger, Cumin, Resin",Low
okeear,Generic Herb,Generic,Low
lkeeol,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
qoteed,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
qotees,Generic Herb,Generic,Low
fcheey,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
keeos,Generic Herb,Generic,Low
opary,Generic Herb,Generic,Low
shodain,Generic Herb,Generic,Low
kodaiin,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
ckho,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
lshy,Generic Herb,Generic,Low
cheaiin,Generic Herb,Generic,Low
okeom,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
choteol,Generic Herb,Generic,Low
qotcheo,Generic Herb,Generic,Low
odaiiin,Generic Herb,Generic,Low
o???,Generic Herb,Generic,Low
qoair,Generic Herb,Generic,Low
lody,Generic Herb,Generic,Low
octhody,Generic Herb,Generic,Low
olo,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
qokeal,Generic Herb,Generic,Low
chekedy,"Pot Herb / Root (e.g. Betony, Radish)","Betony, Mallow, Radish, Mandrake (Root), Fennel",Medium (Functional Match)
okeshy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cher,Generic Herb,Generic,Low
kechdy,Generic Herb,Generic,Low
lsheody,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
pchdaiin,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
qopor,Generic Herb,Generic,Low
chtchy,Generic Herb,Generic,Low
kedar,Generic Herb,Generic,Low
sheet,Generic Herb,Generic,Low
chtedy,"Infusion Herb (e.g. Mint, Sage)","Mint, Sage, Wormwood, Rue, Lavender",Medium (Functional Match)
so,Generic Herb,Generic,Low
olteedy,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheodar,"Spring Tonic (e.g. Nettle, Dandelion)","Nettle, Dandelion, Primrose, Violet",High (Seasonal Match)
cheam,Generic Herb,Generic,Low
chotam,Generic Herb,Generic,Low
yteor,Generic Herb,Generic,Low
rary,Generic Herb,Generic,Low
teeody,Generic Herb,Generic,Low
