page,loc,label,frequency
f68v1,f68v1.6,okechdaral,1
f68v1,f68v1.7,otol,4
f68v1,f68v1.7,chcs,1
f68v1,f68v1.7,otaly,4
f68v1,f68v1.8,okeey,6
f68v1,f68v1.8,ch,1
f68v1,f68v1.8,ek,1
f68v1,f68v1.8,chekeys,1
f68v1,f68v1.9,dar,9
f68v1,f68v1.9,shes,1
f68v1,f68v1.9,shokey,1
f68v1,f68v1.10,oteodain,1
f68v1,f68v1.10,sar,5
f69r,"f69r.11,&L0",shy,2
f69r,"f69r.11,&L0",cht!air!y,1
f69r,"f69r.12,&L0",yt!oetear,1
f69r,"f69r.13,&L0",ytey,1
f69r,"f69r.13,&L0",cholam,1
f69r,"f69r.14,&L0",dair,4
f69r,"f69r.14,&L0",ar,16
f69r,"f69r.14,&L0",yteey,1
f69r,"f69r.14,&L0",chdy,4
f69r,"f69r.15,&L0",okair,1
f69r,"f69r.15,&L0",os,3
f69r,"f69r.15,&L0",air,3
f69r,"f69r.16,&L0",chy,3
f69r,"f69r.16,&L0",to,1
f69r,"f69r.16,&L0",s,5
f69r,"f69r.16,&L0",aly,4
f69r,"f69r.17,&L0",chetar,1
f69r,"f69r.17,&L0",ar,16
f69r,"f69r.17,&L0",aly,4
f69r,"f69r.18,&L0",dalr,1
f69r,"f69r.18,&L0",al,8
f69r,"f69r.18,&L0",ody,2
f69r,"f69r.19,&L0",dal,6
f69r,"f69r.19,&L0",daiin,14
f69r,"f69r.19,&L0",otolam,2
f69r,"f69r.20,&L0",ytcheody!tor,1
f69r,f69r.5,oteos,2
f69r,f69r.5,cho!p,1
f69r,f69r.5,ota!ky,1
f69r,"f69r.6,&L0",ar,16
f69r,"f69r.6,&L0",odain,1
f69r,"f69r.6,&L0",chtaly,1
f69r,"f69r.7,&L0",oto,1
f69r,"f69r.7,&L0",dar,9
f69r,"f69r.7,&L0",archol,1
f69r,"f69r.8,&L0",okeeo,1
f69r,"f69r.8,&L0",chey,1
f69r,"f69r.8,&L0",dy,13
f69r,"f69r.9,&L0",dcho!char,1
f69r,"f69r.9,&L0",ar,16
f69r,"f69r.10,&L0",ytal,2
f69r,"f69r.10,&L0",air,3
f69r,"f69r.10,&L0",al,8
f69r,f69r.30,okch!octhy,1
f69r,f69r.30,okar,5
f69r,f69r.30,ar,16
f69r,f69r.31,cheg,1
f69r,f69r.31,ar,16
f69r,f69r.31,itho!r,1
f69r,f69r.31,ary,5
f69r,f69r.32,sair,2
f69r,f69r.32,chekey,1
f69r,f69r.32,dairam,1
f69r,f69r.33,okcho,1
f69r,f69r.33,dal,6
f69r,f69r.33,oka!r,1
f69r,f69r.33,a!r,1
f69r,f69r.34,sol,1
f69r,f69r.34,aiir,1
f69r,f69r.34,okey!tam,1
f69r,f69r.35,okeos,4
f69r,f69r.35,ar,16
f69r,f69r.35,alg,1
f69r,f69r.36,docheeo,1
f69r,f69r.36,kody,1
f69r,f69r.36,sar,5
f69r,f69r.37,dchokey,1
f69r,f69r.37,shkchody,1
f69r,f69r.37,al,8
f69r,f69r.38,chor,1
f69r,f69r.38,al,8
f69r,f69r.38,ylcho,1
f69r,f69r.38,ral,1
f69r,f69r.39,soir,1
f69r,f69r.39,al,8
f69r,f69r.39,okody,4
f69r,f69r.39,otedy,2
f69r,f69r.40,okody,4
f69r,f69r.40,cheody,3
f69r,f69r.40,sar,5
f69r,f69r.41,chokeod,1
f69r,f69r.41,okeea,1
f69r,f69r.42,dkochy,1
f69r,f69r.42,cthody,1
f69r,f69r.42,dy,13
f69r,f69r.21,chodchy,1
f69r,f69r.21,chotal,2
f69r,f69r.22,okeo,3
f69r,f69r.22,sho,1
f69r,f69r.22,qotam,1
f69r,f69r.23,okeodar,1
f69r,f69r.23,oteody,3
f69r,f69r.24,ykeeos,1
f69r,f69r.24,al,8
f69r,f69r.24,dair,4
f69r,f69r.24,dar,9
f69r,f69r.25,ykeey,2
f69r,f69r.25,dal,6
f69r,f69r.25,oky,6
f69r,f69r.26,doly,1
f69r,f69r.26,dal,6
f69r,f69r.26,dar,9
f69r,f69r.26,chyky,1
f69r,f69r.27,okchol,1
f69r,f69r.27,qokol,1
f69r,f69r.27,dalo,1
f69r,f69r.28,ykechody,1
f69r,f69r.28,otar,2
f69r,f69r.29,dar!y,1
f69r,f69r.29,dar,9
f69r,f69r.29,aloly,2
f69r,f69r.45,d,2
f69r,f69r.46,o,3
f69r,f69r.47,l,1
f69r,f69r.48,s,5
f69r,f69r.49,em,1
f69r,f69r.44,y,4
f69v,f69v.7,ykeey,2
f69v,f69v.8,ytary,1
f69v,f69v.9,oeesa,1
f69v,f69v.10,ytody,2
f69v,f69v.11,okody,4
f69v,f69v.12,otody,3
f69v,f69v.13,okeol,4
f69v,f69v.14,okeod,4
f69v,f69v.15,oteeys,1
f69v,f69v.16,oteol,1
f69v,f69v.17,ykeydy,1
f69v,f69v.18,okeod,4
f69v,f69v.19,sar!al,1
f69v,f69v.20,saiir,1
f69v,f69v.21,okolar,2
f69v,f69v.22,ykeody,3
f69v,f69v.23,sarydy,1
f69v,f69v.24,otchy,1
f69v,f69v.25,okchy,4
f69v,f69v.25,dy,13
f69v,f69v.26,okey,2
f69v,f69v.26,d,2
f69v,f69v.27,okeod,4
f69v,f69v.28,okodchy,1
f69v,f69v.29,okeody,7
f69v,f69v.30,okchey,1
f69v,f69v.30,s,5
f69v,f69v.31,oar,2
f69v,f69v.31,alys,1
f69v,f69v.4,okchy,4
f69v,f69v.4,sar,5
f69v,f69v.5,okeo,3
f69v,f69v.5,dy,13
f69v,f69v.6,ochoyk,1
f70r1,f70r1.1,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%oooooooool!ar?%%%%,1
f70r1,f70r1.6,otcho,1
f70r1,f70r1.6,dar,9
f70r1,f70r1.6,yky,3
f70r1,f70r1.7,opar,1
f70r1,f70r1.7,ykchy,1
f70r1,f70r1.8,y,4
f70r1,f70r1.8,saimchy,1
f70r1,f70r1.8,dam,3
f70r1,f70r1.9,otair,2
f70r1,f70r1.9,orolgy,1
f70r1,f70r1.10,dchal,1
f70r1,f70r1.10,da!m,1
f70r1,f70r1.11,yteody,3
f70r1,f70r1.11,sam,1
f70r1,f70r1.12,okchy,4
f70r1,f70r1.12,dal,6
f70r1,f70r1.12,dy,13
f70r1,f70r1.4,yfcheodly,1
f70r1,f70r1.5,ytcheas,1
f70r1,f70r1.5,aly,4
f70r1,f70r1.15,okeody,7
f70r1,f70r1.16,otody,3
f70r1,f70r1.17,ypolol,1
f70r1,f70r1.18,chodal,1
f70r1,f70r1.19,okosd,1
f70r1,f70r1.14,ykeal,1
f70r2,f70r2.11,daiin,14
f70r2,f70r2.11,chotal,2
f70r2,f70r2.11,qokal,1
f70r2,f70r2.11,chol,4
f70r2,f70r2.11,chotals,1
f70r2,f70r2.14,okaiin,3
f70r2,f70r2.14,chcthhy,2
f70r2,f70r2.14,s,5
f70r2,f70r2.14,or,7
f70r2,f70r2.14,ary<$>,1
f70v2,"f70v2.5,&Lz",oty,3
f70v2,"f70v2.6,&Lz",oky,6
f70v2,"f70v2.6,&Lz",ody,2
f70v2,"f70v2.7,&Lz",oty,3
f70v2,"f70v2.7,&Lz",or,7
f70v2,"f70v2.8,&Lz",okaly,4
f70v2,"f70v2.9,&Lz",otody,3
f70v2,"f70v2.10,&Lz",otald,1
f70v2,"f70v2.11,&Lz",otal,7
f70v2,"f70v2.11,&Lz",dar,9
f70v2,"f70v2.12,&Lz",okody,4
f70v2,"f70v2.13,&Lz",opys,1
f70v2,"f70v2.13,&Lz",am,8
f70v2,"f70v2.14,&Lz",chckhhy,1
f70v2,"f70v2.15,&Lz",otaly,4
f70v2,"f70v2.16,&Lz",otal,7
f70v2,"f70v2.16,&Lz",rar,2
f70v2,"f70v2.17,&Lz",otal,7
f70v2,"f70v2.17,&Lz",dy,13
f70v2,"f70v2.18,&Lz",okeoly,2
f70v2,"f70v2.19,&Lz",oky!dy,1
f70v2,"f70v2.20,&Lz",okees,1
f70v2,f70v2.2,otalalg,1
f70v2,"f70v2.3,&Lz",okasy,1
f70v2,"f70v2.4,&Lz",otar!!<!fold>,1
f70v2,"f70v2.23,&Lz",otar!al,1
f70v2,"f70v2.24,&Lz",otal!ar,1
f70v2,"f70v2.25,&Lz",otal!am,1
f70v2,"f70v2.26,&Lz",dolara!m,1
f70v2,"f70v2.27,&Lz",okaram,2
f70v2,"f70v2.28,&Lz",oteosal,1
f70v2,"f70v2.29,&Lz",sal!ols,1
f70v2,"f70v2.30,&Lz",okal!dal,1
f70v2,"f70v2.31,&Lz",ykolaiin,1
f70v2,f70v2.22,s!ar,2
f70v2,f70v2.22,am,8
f70v2,f70v2.33,otylal,1
f70v1,f70v1.2,otalchy,1
f70v1,f70v1.2,tar,1
f70v1,f70v1.2,am,8
f70v1,f70v1.2,dy,13
f70v1,"f70v1.3,&Lz",opchey,1
f70v1,"f70v1.3,&Lz",sal,2
f70v1,"f70v1.4,&Lz",otokaiman,1
f70v1,"f70v1.5,&Lz",okalal,1
f70v1,"f70v1.6,&Lz",otyly,1
f70v1,"f70v1.7,&Lz",oalcheg,1
f70v1,"f70v1.8,&Lz",otchodals,1
f70v1,"f70v1.9,&Lz",okolshy,1
f70v1,"f70v1.10,&Lz",otshshdy,1
f70v1,"f70v1.11,&Lz",otol,4
f70v1,"f70v1.11,&Lz",ypsharal,1
f70v1,f70v1.13,okoly,2
f70v1,"f70v1.14,&Lz",otolaiin,1
f70v1,"f70v1.15,&Lz",oteo,1
f70v1,"f70v1.15,&Lz",alols,1
f70v1,"f70v1.15,&Lz",asaly,1
f70v1,"f70v1.16,&Lz",oteoeey,1
f70v1,"f70v1.16,&Lz",otal,7
f70v1,"f70v1.16,&Lz",okeal,2
f70v1,"f70v1.16,&Lz",ar,16
f70v1,"f70v1.17,&Lz",oteas,1
f70v1,"f70v1.17,&Lz",araydy,1
f71r,f71r.2,oteos,2
f71r,f71r.2,arar,1
f71r,"f71r.3,&Lz",okldam,1
f71r,"f71r.4,&Lz",oteoaldy,1
f71r,"f71r.5,&Lz",oteolar,1
f71r,"f71r.6,&Lz",okeoaly,1
f71r,"f71r.7,&Lz",otaleky,1
f71r,"f71r.8,&Lz",otalsar,1
f71r,"f71r.9,&Lz",chsary,1
f71r,"f71r.10,&Lz",oteo!tey,1
f71r,"f71r.10,&Lz",sary,1
f71r,"f71r.11,&Lz",otalaly,1
f71r,f71r.13,otol,4
f71r,f71r.13,chdy,4
f71r,"f71r.14,&Lz",otoloaram,1
f71r,"f71r.15,&Lz",oteeol,1
f71r,"f71r.16,&Lz",otolchd,1
f71r,"f71r.17,&Lz",otal,7
f71r,"f71r.17,&Lz",dar,9
f71v,f71v.2,char,3
f71v,f71v.2,orom,1
f71v,"f71v.3,&Lz",chfaly,1
f71v,"f71v.4,&Lz",okolar,2
f71v,"f71v.5,&Lz",otchody,1
f71v,"f71v.6,&Lz",olcphy,1
f71v,"f71v.7,&Lz",otaiin,2
f71v,"f71v.8,&Lz",okaraiin,1
f71v,"f71v.9,&Lz",okar,5
f71v,"f71v.9,&Lz",ar,16
f71v,"f71v.9,&Lz",aly,4
f71v,"f71v.10,&Lz",opalar,1
f71v,"f71v.10,&Lz",am,8
f71v,"f71v.10,&Lz",da!n,1
f71v,"f71v.11,&Lz",opalor,1
f71v,"f71v.11,&Lz",ar,16
f71v,f71v.13,ofacfom,1
f71v,"f71v.14,&Lz",otalody,1
f71v,"f71v.15,&Lz",otalaiin,1
f71v,"f71v.16,&Lz",otar,2
f71v,"f71v.16,&Lz",shor,2
f71v,"f71v.17,&Lz",sholshdy,1
f72r1,f72r1.2,oshodody,1
f72r1,"f72r1.3,&Lz",chdaiir!sainy,1
f72r1,"f72r1.4,&Lz",oaiin,1
